# cube 1
-50.0,0.0,50.0;50.0,0.0,50.0
50.0,0.0,50.0;50.0,0.0,150.0
50.0,0.0,150.0;-50.0,0.0,150.0
-50.0,0.0,150.0;-50.0,0.0,50.0
-50.0,150.0,50.0;50.0,150.0,50.0
50.0,150.0,50.0;50.0,150.0,150.0
50.0,150.0,150.0;-50.0,150.0,150.0
-50.0,150.0,150.0;-50.0,150.0,50.0
-50.0,0.0,50.0;-50.0,150.0,50.0
50.0,0.0,50.0;50.0,150.0,50.0
50.0,0.0,150.0;50.0,150.0,150.0
-50.0,0.0,150.0;-50.0,150.0,150.0
255,0,0

# cube 2
-200.0,0.0,50.0;-100.0,0.0,50.0
-100.0,0.0,50.0;-100.0,0.0,150.0
-100.0,0.0,150.0;-200.0,0.0,150.0
-200.0,0.0,150.0;-200.0,0.0,50.0
-200.0,150.0,50.0;-100.0,150.0,50.0
-100.0,150.0,50.0;-100.0,150.0,150.0
-100.0,150.0,150.0;-200.0,150.0,150.0
-200.0,150.0,150.0;-200.0,150.0,50.0
-200.0,0.0,50.0;-200.0,150.0,50.0
-100.0,0.0,50.0;-100.0,150.0,50.0
-100.0,0.0,150.0;-100.0,150.0,150.0
-200.0,0.0,150.0;-200.0,150.0,150.0
0,255,0

# cube 3
200.0,0.0,200.0;300.0,0.0,200.0
300.0,0.0,200.0;300.0,0.0,300.0
300.0,0.0,300.0;200.0,0.0,300.0
200.0,0.0,300.0;200.0,0.0,200.0
200.0,150.0,200.0;300.0,150.0,200.0
300.0,150.0,200.0;300.0,150.0,300.0
300.0,150.0,300.0;200.0,150.0,300.0
200.0,150.0,300.0;200.0,150.0,200.0
200.0,0.0,200.0;200.0,150.0,200.0
300.0,0.0,200.0;300.0,150.0,200.0
300.0,0.0,300.0;300.0,150.0,300.0
200.0,0.0,300.0;200.0,150.0,300.0
0,0,255


